('https://image1.ljcdn.com/440100-inspection/70137065-c944-4641-8837-e517c3e4cef7.jpg.296x216.jpg', '凯德新玥 3室1厅 70万', '凯德新玥  | 3室1厅 | 59.8平米 | 东 | 其他', '低楼层(共22层)塔楼  -  榄核镇', '70万', '单价11706元/平米')
('https://image1.ljcdn.com/440100-inspection/a59b4610-fc92-4562-9621-60099bf6534b.jpg.296x216.jpg', '南沙奥园 2室2厅 140万', '南沙奥园  | 2室2厅 | 78平米 | 西南 | 其他', '中楼层(共9层)塔楼  -  金洲', '140万', '单价17949元/平米')
('https://image1.ljcdn.com/440100-inspection/efaf9972-15b3-4c64-b649-6412541c2010.jpg.296x216.jpg', '翡翠蓝湾 精装修三房 南向 望小区', '大岗翡翠蓝湾北区  | 3室2厅 | 101.64平米 | 东南 | 精装', '低楼层(共18层)塔楼  -  大岗镇', '166万', '单价16333元/平米')
('https://image1.ljcdn.com/440100-inspection/772c98c6-5cc0-4d10-8239-a5761524fcf7.jpg.296x216.jpg', '龙光棕榈水岸南区 3室2厅 245万', '龙光棕榈水岸南区  | 3室2厅 | 97.01平米 | 南 | 其他 | 有电梯', '低楼层(共18层)塔楼  -  南沙区府', '245万', '单价25256元/平米')
('', '创鸿嘉园 2室2厅 199万', '创鸿嘉园  | 2室2厅 | 87.09平米 | 南 | 精装', '低楼层(共31层)塔楼  -  金洲', '199万', '单价22850元/平米')
('https://image1.ljcdn.com/440100-inspection/f37ab719-6cf0-470b-9862-36ae8ce3f484.jpg.296x216.jpg', '凯德新玥 3室2厅 140万', '凯德新玥  | 3室2厅 | 95.87平米 | 南 | 其他', '高楼层(共26层)塔楼  -  榄核镇', '140万', '单价14604元/平米')
('https://image1.ljcdn.com/440100-inspection/6f11825a-b511-430a-a6ca-df4e7accb59d.jpg.296x216.jpg', '翡翠蓝湾 精装修三房', '大岗翡翠蓝湾北区  | 3室1厅 | 98.58平米 | 南 | 精装', '高楼层(共18层)塔楼  -  大岗镇', '170万', '单价17245元/平米')
('', '龙光棕榈水岸南区 3室2厅 228万', '龙光棕榈水岸南区  | 3室2厅 | 88平米 | 南 | 其他 | 有电梯', '低楼层(共18层)塔楼  -  南沙区府', '228万', '单价25910元/平米')
('', '长江数码花园 3室2厅 142万', '长江数码花园  | 3室2厅 | 97.1平米 | 南 | 简装 | 无电梯', '中楼层(共6层)塔楼  -  榄核镇', '142万', '单价14625元/平米')
('', '大岗翡翠蓝湾西区 3室2厅 338万', '大岗翡翠蓝湾西区   | 独栋别墅 | 3室2厅 | 169.99平米 | 东南 | 其他', '1层暂无数据  -  大岗镇', '338万', '单价19884元/平米')
('', '大岗翡翠蓝湾东区 2室1厅 140万', '大岗翡翠蓝湾东区  | 2室1厅 | 78.8平米 | 南 | 其他 | 无电梯', '低楼层(共9层)塔楼  -  大岗镇', '140万', '单价17767元/平米')
('https://image1.ljcdn.com/440100-inspection/3203936c-d2c7-423b-9bf6-d61ea5cb96a9.jpg.296x216.jpg', '南沙保利城 两房中高层户型 视野开阔', '南沙保利城  | 2室2厅 | 66.94平米 | 北 | 简装', '中楼层(共28层)塔楼  -  黄阁', '157万', '单价23454元/平米')
('https://image1.ljcdn.com/440100-inspection/8c719bb3-8b26-4d00-9962-41e36856ef3e.jpg.296x216.jpg', '凯德新玥 2室2厅 155万', '凯德新玥  | 2室2厅 | 79.04平米 | 南 | 其他', '高楼层(共32层)塔楼  -  榄核镇', '155万', '单价19611元/平米')
('', '3房户型 通风好 采光佳 精装修', '时代南湾  | 3室2厅 | 134.06平米 | 东南 | 精装 | 有电梯', '低楼层(共32层)2015年建塔楼  -  金洲', '360万', '单价26854元/平米')
('https://image1.ljcdn.com/440100-inspection/bc21c7c5-3382-44b0-beeb-b179db416f25.jpg.296x216.jpg', '精装修 实用三房 诚意出售', '凯德新玥  | 3室2厅 | 89.71平米 | 南 | 精装', '低楼层(共32层)塔楼  -  榄核镇', '145万', '单价16164元/平米')
('https://image1.ljcdn.com/440100-inspection/88128273-dd75-40ee-8912-8297972eb711.jpg.296x216.jpg', '粤港澳大湾区 南沙万达广场公寓 可个人购买的公寓', '南沙万达广场  | 1室0厅 | 52.68平米 | 东南 | 其他', '低楼层(共27层)塔楼  -  金洲', '80万', '单价15187元/平米')
('', '辉达楼 3室2厅 150万', '辉达楼  | 3室2厅 | 158平米 | 南 | 简装', '高楼层(共4层)板楼  -  大岗镇', '150万', '单价9494元/平米')
('https://image1.ljcdn.com/440100-inspection/07a6efdf-c09f-47c8-945f-15730eb5914a.jpg.296x216.jpg', '中大城 2室2厅 100万', '中大城  | 2室2厅 | 50.16平米 | 南 | 其他 | 有电梯', '中楼层(共20层)塔楼  -  金洲', '100万', '单价19937元/平米')
('', '南沙境界家园 4室2厅 273万', '南沙境界家园  | 4室2厅 | 143.27平米 | 西南 | 其他 | 有电梯', '高楼层(共27层)2013年建塔楼  -  南沙区府', '273万', '单价19055元/平米')
('', '保利城 次新小区两房户型  视野开阔', '南沙保利城  | 2室2厅 | 66.83平米 | 北 | 精装 | 有电梯', '低楼层(共31层)塔楼  -  黄阁', '145万', '单价21697元/平米')
('https://image1.ljcdn.com/440100-inspection/5704ae7d-54ad-4d67-ac8c-1d90683261c9.jpg.296x216.jpg', '凯德新玥 一房一厅户型', '凯德新玥  | 1室1厅 | 48平米 | 西 | 其他', '中楼层(共22层)塔楼  -  榄核镇', '53万', '单价11042元/平米')
('', '南沙珠江湾 精装三房 户型方正', '南沙珠江湾  | 4室2厅 | 140.51平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2012年建塔楼  -  金洲', '352万', '单价25052元/平米')
('', '茗荔雅苑 8室3厅 700万', '茗荔雅苑   | 独栋别墅 | 8室3厅 | 409.76平米 | 南 | 其他', '1层暂无数据  -  金洲', '700万', '单价17084元/平米')
('', '南沙珠江湾 3室2厅 270万', '南沙珠江湾  | 3室2厅 | 118.95平米 | 东南 | 其他 | 有电梯', '高楼层(共28层)2012年建塔楼  -  金洲', '270万', '单价22699元/平米')
('', '叠翠峰 2室2厅 178万', '叠翠峰  | 2室2厅 | 71.4平米 | 北 | 其他 | 有电梯', '高楼层(共32层)2017年建塔楼  -  南沙区府', '178万', '单价24930元/平米')
('', '凯德新玥 电梯精装两房 南向望园景', '凯德新玥  | 2室2厅 | 78平米 | 南 | 精装', '低楼层(共26层)塔楼  -  榄核镇', '135万', '单价17308元/平米')
('', '万科府前一号 实用二房 南北对流', '万科府前一号  | 2室2厅 | 83平米 | 南 北 | 其他 | 有电梯', '低楼层(共30层)2014年建塔楼  -  南沙区府', '225万', '单价27109元/平米')
('', '南沙奥园 方正三房 前阳台后平台 南北通脱自住 保养好', '南沙奥园二区  | 3室2厅 | 134.16平米 | 南 | 其他', '低楼层(共12层)塔楼  -  金洲', '300万', '单价22362元/平米')
('', '装修保养好', '南沙碧桂园豪庭  | 3室2厅 | 103.9平米 | 西南 | 精装', '低楼层(共18层)塔楼  -  金洲', '252万', '单价24255元/平米')
('', '南沙保利城 3室1厅 195万', '南沙保利城  | 3室1厅 | 94平米 | 南 | 简装', '中楼层(共32层)塔楼  -  黄阁', '195万', '单价20745元/平米')
