('https://image1.ljcdn.com/460100-inspection/39ddd9f4-793f-4036-bc18-d62208cc56e8.jpg.296x216.jpg', '满五唯一 拎包入住 生活便利 诚心出售', '蓝海佳园  ', '低楼层(共8层)暂无数据  -  秀英', '101万', '单价13997元/平米')
('', '户型方正 总价低 精装修 拎包入住 中间楼层采光好', '鑫汇大厦  ', '中楼层(共19层)板楼  -  龙华', '130万', '单价15663元/平米')
('https://image1.ljcdn.com/460100-inspection/61f87ab1-0904-470f-9440-032c94760758.jpg.296x216.jpg', '金域湾畔 户型方正采光通风充足  三房  美式装修', '金域湾畔  ', '高楼层(共30层)暂无数据  -  秀英', '245万', '单价19328元/平米')
('', '秀英区 丘海大道 水云天 3房', '水云天  ', '高楼层(共10层)暂无数据  -  秀英', '248万', '单价17465元/平米')
('https://image1.ljcdn.com/460100-inspection/b0037714-5812-49d7-b58a-5e5ded385993.jpg.296x216.jpg', '海口湾  户型方正大三房 看房有钥匙', '丽晶维港  ', '中楼层(共17层)暂无数据  -  秀英', '295万', '单价20206元/平米')
('', '诚心出售！西海岸好楼盘，晨晖帝景，拎包入住两房', '晨晖帝景  ', '低楼层(共15层)板楼  -  西海岸', '248万', '单价26667元/平米')
('', '山海苑 带车位 满二唯一  环境宜人', '山海苑  ', '高楼层(共17层)暂无数据  -  西海岸', '157万', '单价19985元/平米')
('', '华洋公寓满五多套 随时看房 4房2厅1卫1厨2阳 产权清晰', '华洋公寓  ', '中楼层(共8层)暂无数据  -  秀英', '140万', '单价10713元/平米')
('https://image1.ljcdn.com/460100-inspection/7726db0c-0f15-4833-a13b-1fbdc041aa36.jpg.296x216.jpg', '西海岸秀英区观澜公寓，环境优美，单价低', '观澜公寓  ', '低楼层(共7层)暂无数据  -  西海岸', '199万', '单价18294元/平米')
('', '急售！西海岸好楼盘，鲁能钓鱼台美高梅，毛坯三房', '鲁能·钓鱼台·美高梅  ', '中楼层(共20层)板楼  -  西海岸', '221万', '单价22552元/平米')
('https://image1.ljcdn.com/460100-inspection/fb817701-2e26-4d3e-9027-4c9979fd4b40.jpg.296x216.jpg', '满五多套，精装修，业主诚意出售，产证在手，价格可谈', '铭盛檀香洲  ', '中楼层(共8层)暂无数据  -  秀英', '166万', '单价15399元/平米')
('', '西海岸 政府旁 滨海新天地 毛坯三房 小区中间 纯板楼', '滨海新天地  ', '高楼层(共17层)板塔结合  -  西海岸', '220万', '单价19081元/平米')
('', '正规3房2厅2卫3阳台 一梯两户南北通', '海滨花园  ', '中楼层(共8层)暂无数据  -  秀英', '177万', '单价15000元/平米')
('', '锦地翰城 3室2厅 238.5万', '锦地翰城  ', '低楼层(共16层)塔楼  -  秀英', '238.5万', '单价18000元/平米')
('https://image1.ljcdn.com/460100-inspection/96291dee-cb8e-4639-ab68-ed25ae15caea.jpg.296x216.jpg', '正规3房，海口湾，毛坯，带入户花园', '丽晶维港  ', '中楼层(共17层)暂无数据  -  秀英', '295万', '单价20069元/平米')
('', '滨海新天地 2室2厅 259万', '滨海新天地  ', '低楼层(共17层)板塔结合  -  西海岸', '259万', '单价26980元/平米')
('https://image1.ljcdn.com/460100-inspection/65096233-2a01-4792-b268-a5d817df8e69.jpg.296x216.jpg', '丽晶维港 3室2厅 295万', '丽晶维港  ', '中楼层(共17层)暂无数据  -  秀英', '295万', '单价20206元/平米')
('', '房主诚心卖房，成交后随时可以拎包入住', '文博府B区  ', '高楼层(共18层)暂无数据  -  秀英', '230万', '单价18197元/平米')
('https://image1.ljcdn.com/460100-inspection/11a53399-b5db-4d18-8215-0987c9781b86.jpg.296x216.jpg', '配套齐全，交通方便，南北朝向，满五多套。', '宝源花园  ', '高楼层(共9层)暂无数据  -  秀英', '236万', '单价18519元/平米')
('', '业主诚意出售 环境优美 拎包入住 品质精装4房', '万花坊  ', '中楼层(共16层)暂无数据  -  秀英', '370万', '单价23134元/平米')
('https://image1.ljcdn.com/460100-inspection/87ba8c5c-2067-4067-baac-426c39e45c25.jpg.296x216.jpg', '福隆广场 3室2厅 235万', '福隆广场  ', '中楼层(共25层)暂无数据  -  秀英', '235万', '单价16667元/平米')
('', '诚心出售！南光西海湾，大三房，拎包入住，户型方正', '南光·西海湾  ', '中楼层(共5层)板楼  -  西海岸', '520万', '单价27808元/平米')
('https://image1.ljcdn.com/460100-inspection/ef9e7524-a415-43d6-af3e-4e4b03f24bf4.jpg.296x216.jpg', '秀英大型小区水云天精装4房 加超大阳台 税费低', '水云天  ', '中楼层(共11层)暂无数据  -  秀英', '280万', '单价17092元/平米')
('', '铭盛檀香洲 海秀西路 汽车西站边', '铭盛檀香洲  ', '高楼层(共25层)暂无数据  -  秀英', '206万', '单价20000元/平米')
('https://image1.ljcdn.com/460100-inspection/dd2c8ba2-ab92-40d5-82a5-0576558295e7.jpg.296x216.jpg', '秀英 金楚小区板楼 一梯两户 公摊少 两房南北通透', '金楚小区  ', '高楼层(共6层)暂无数据  -  秀英', '100万', '单价12574元/平米')
('', '远大购物广场品质小区，华府蓝湾，标准两房，毛坯急售', '华府蓝湾  ', '中楼层(共24层)塔楼  -  西海岸', '199万', '单价22248元/平米')
('https://image1.ljcdn.com/460100-inspection/6c97d2b8-2464-4c04-b903-8dd5e49249b2.jpg.296x216.jpg', '金海大厦，精装电梯房，满五年，带飘窗', '金海大厦  ', '中楼层(共21层)暂无数据  -  秀英', '78.5万', '单价16355元/平米')
('', '小区门前就是大道，交通便利出行方便', '紫园  ', '中楼层(共10层)暂无数据  -  西海岸', '260万', '单价29214元/平米')
('https://image1.ljcdn.com/460100-inspection/7baee38f-46bf-4815-9413-b535cddb0f1c.jpg.296x216.jpg', '滨海大道，正规3房，明厨明卫！', '银通花园  ', '中楼层(共22层)暂无数据  -  秀英', '250万', '单价17362元/平米')
('', '西海岸 朝南两房 户型方正 适合居家', '龙光海云天  ', '中楼层(共18层)板塔结合  -  西海岸', '170万', '单价20712元/平米')
('https://image1.ljcdn.com/460100-inspection/5fc28b2f-72da-4f7c-91e5-c2535e04a3e4.jpg.296x216.jpg', '金侨大厦 2室1厅 58万', '金侨大厦  ', '中楼层(共26层)暂无数据  -  秀英', '58万', '单价17434元/平米')
('', '户型方正，采光好，业主诚心出卖', '金华苑  ', '中楼层(共20层)暂无数据  -  秀英', '182万', '单价14000元/平米')
('https://image1.ljcdn.com/460100-inspection/15880bb9-6956-4e90-953f-0d275eecb363.jpg.296x216.jpg', '秀英区省医院旁精致小户型，总价低，度假老人的选择！', '蓝海佳园  ', '低楼层(共11层)暂无数据  -  秀英', '73.8万', '单价18450元/平米')
('', '泰达天海国际 3室2厅 510万', '泰达天海国际  ', '低楼层(共6层)板楼  -  西海岸', '510万', '单价28652元/平米')
('https://image1.ljcdn.com/460100-inspection/39e2f49f-857d-4e88-b800-7f83b02f3a05.jpg.296x216.jpg', '锦湖花苑 3室2厅 168万', '锦湖花苑  ', '高楼层(共15层)暂无数据  -  秀英', '168万', '单价16154元/平米')
('', '龙光海云天 3室2厅 210万', '龙光海云天  ', '中楼层(共18层)板塔结合  -  西海岸', '210万', '单价19846元/平米')
('https://image1.ljcdn.com/460100-inspection/8b9e2b0d-ea6b-4b35-a1c3-262b914c8cf5.jpg.296x216.jpg', '正规2房精装修带有阳台交通便利', '蓝海佳园  ', '低楼层(共11层)暂无数据  -  秀英', '93.8万', '单价18985元/平米')
('', '大华·锦绣海岸 3室2厅 290万', '大华·锦绣海岸  ', '低楼层(共21层)塔楼  -  西海岸', '290万', '单价25540元/平米')
('https://image1.ljcdn.com/460100-inspection/6af9639f-0829-488b-a762-eaa55d6c9d55.jpg.296x216.jpg', '锦地翰城 精装三房 南北朝向 拎包入住', '锦地翰城  ', '中楼层(共23层)暂无数据  -  秀英', '190万', '单价20000元/平米')
('', '凯撒豪庭，南北通三房，通风采光好', '凯撒豪庭  ', '中楼层(共12层)暂无数据  -  西海岸', '208万', '单价16508元/平米')
('https://image1.ljcdn.com/460100-inspection/52cdb0dd-d2a3-48e0-8f77-37667e126eda.jpg.296x216.jpg', '秀英小街，通透正规3房，交通便利！', '机关第三宿舍区  ', '中楼层(共7层)暂无数据  -  秀英', '122万', '单价13687元/平米')
('https://image1.ljcdn.com/460100-inspection/15a50a3d-2db4-4643-961a-70782f69a5ef.JPG.296x216.jpg', '秀英南海大道 西城1号 精装2房朝南可改小3房 家具齐全', '西城1号  ', '低楼层(共19层)暂无数据  -  秀英', '140万', '单价16371元/平米')
('https://image1.ljcdn.com/460100-inspection/d96b676f-b39d-4abd-8373-84b8000cd56a.jpg.296x216.jpg', '金侨大厦 三房 户型方正 通透采光充足 业主诚心出售', '金侨大厦  ', '中楼层(共26层)暂无数据  -  秀英', '138万', '单价11500元/平米')
('https://image1.ljcdn.com/460100-inspection/rsp_pic_uploadba886c78-7f53-4618-92d1-8cde5e09b59e.JPG.296x216.jpg', '顶楼视野开阔  一线海景南北通透户型 地段好安静', '西雅图丽湾  ', '高楼层(共11层)暂无数据  -  西海岸', '750万', '单价29814元/平米')
('https://image1.ljcdn.com/460100-inspection/8b2cfa63-92dd-45c9-bf9e-f64d16d6e22b.jpg.296x216.jpg', '西海岸 凯撒豪庭  海景房 满五年  接受按揭', '凯撒豪庭  ', '中楼层(共12层)暂无数据  -  西海岸', '550万', '单价25000元/平米')
('https://image1.ljcdn.com/460100-inspection/1a58c560-4930-43a9-87f1-9b567aa027c2.jpg.296x216.jpg', '瑞园二期；满2年，毛坯两房，看房随时，产权清晰', '瑞园二期  ', '中楼层(共21层)塔楼  -  秀英', '150万', '单价18264元/平米')
('https://image1.ljcdn.com/460100-inspection/9041671f-fede-423f-b0ef-5001f0b89db3.jpg.296x216.jpg', '满五多套，复式三层70平小户型，大型小区', '城市海岸  ', '高楼层(共7层)暂无数据  -  西海岸', '200万', '单价28531元/平米')
('https://image1.ljcdn.com/460100-inspection/8790363d-f477-4276-97f7-1f7af1e63c4b.jpg.296x216.jpg', '建筑密度低，小高层带电梯，环境安静清幽', '阳光巴洛克小区  ', '中楼层(共6层)暂无数据  -  秀英', '260万', '单价24216元/平米')
('https://image1.ljcdn.com/460100-inspection/f8ce2ae1-6d9c-4a9c-933a-7ad8666916db.jpg.296x216.jpg', '交通方便，配套齐全，环境好，生活方便', '锦地翰城  ', '中楼层(共24层)塔楼  -  秀英', '207万', '单价17609元/平米')
('https://image1.ljcdn.com/460100-inspection/c5581bfb-8bdc-415f-bffc-2cfa9d89444a.jpg.296x216.jpg', '金城万花坊 高档小区，精装修。业主诚心卖', '金城万花坊  ', '中楼层(共18层)暂无数据  -  秀英', '190万', '单价17925元/平米')
('https://image1.ljcdn.com/460100-inspection/3295e10a-cd5e-4d9f-829c-7ae857fb6a5a.jpg.296x216.jpg', '金环大厦 2室1厅 160万', '金环大厦  ', '高楼层(共24层)暂无数据  -  秀英', '160万', '单价18391元/平米')
('https://image1.ljcdn.com/460100-inspection/ee79538d-1369-4418-9f93-ae3770556003.jpg.296x216.jpg', '满二多套，阳台外有两百多平大露台', '丽晶维港  ', '低楼层(共21层)暂无数据  -  秀英', '300万', '单价20000元/平米')
('https://image1.ljcdn.com/460100-inspection/625442f3-f622-4347-8d8f-a39fa7608382.jpg.296x216.jpg', '配套成熟，采光充足 适宜居住。', '长信·海岸水城  ', '中楼层(共6层)暂无数据  -  西海岸', '500万', '单价20162元/平米')
('', '丽晶维港 3室3厅 290万', '丽晶维港  ', '高楼层(共24层)暂无数据  -  秀英', '290万', '单价19131元/平米')
('', '毛坯大三房 采光通风好 业主诚意出售', '天伦誉海湾  ', '低楼层(共30层)塔楼  -  西海岸', '225万', '单价18750元/平米')
('https://image1.ljcdn.com/460100-inspection/8efca43a-d4c0-43c7-a6c0-4ed4836f4c41.jpg.296x216.jpg', '天利龙腾湾 2015年新小区 此房可观海景。', '梦享·龙腾湾  ', '中楼层(共30层)暂无数据  -  西海岸', '188万', '单价21186元/平米')
('', '南北通透格局方正，带电梯适合各类人群居住。', '龙光海云天  ', '高楼层(共18层)板塔结合  -  西海岸', '210万', '单价25891元/平米')
('', '新景立大厦 电梯 房 大5房 居家装修 看房方便', '新景立大厦  ', '低楼层(共15层)暂无数据  -  西海岸', '218万', '单价12037元/平米')
('https://image1.ljcdn.com/460100-inspection/b5791d3b-e47d-4139-b2ed-aa10703cbf09.jpg.296x216.jpg', '南北通透，精装修，随时看房的方正两居室，诚心卖房。', '龙光海云天  ', '高楼层(共17层)板塔结合  -  西海岸', '178万', '单价20942元/平米')
('', '西海岸 华盛中 央公园 中低楼层 方正三房', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '170万', '单价17709元/平米')
('', '永万路 电梯三房 天伦誉海湾 业主诚心出售', '天伦誉海湾  ', '中楼层(共30层)塔楼  -  西海岸', '235万', '单价19798元/平米')
('', '西海岸 华盛中 央公园  近远大购物商场！', '华盛中央公园  ', '高楼层(共34层)塔楼  -  西海岸', '187万', '单价20108元/平米')
('https://image1.ljcdn.com/460100-inspection/cf7a628b-3990-4d15-bbc2-8324432fa312.jpg.296x216.jpg', '此房产证满二年，采光充足通风好', '阳光西海岸  ', '16层暂无数据  -  西海岸', '220万', '单价20184元/平米')
('', '海岸赛拉维 4室2厅 230万', '海岸赛拉维  ', '低楼层(共18层)塔楼  -  西海岸', '230万', '单价15674元/平米')
('', '高档小区，生活便利，装修好，社区素质高', '东汇西海岸  ', '高楼层(共17层)板塔结合  -  西海岸', '165万', '单价18334元/平米')
('', '四房三厅，户型方正采光良好，全新装修', '泉海好家园  ', '低楼层(共16层)暂无数据  -  秀英', '290万', '单价19079元/平米')
('https://image1.ljcdn.com/460100-inspection/66369332-8dac-4c8e-9c3f-98676b35d16b.jpg.296x216.jpg', '秀英 秀山观海苑 海景房  06年小区', '秀山观海苑  ', '中楼层(共18层)暂无数据  -  西海岸', '169.8万', '单价19473元/平米')
('', '通风采光好，正规3房，明厨明卫，户型方正，产权清晰', '海岸赛拉维  ', '低楼层(共19层)塔楼  -  西海岸', '210万', '单价17560元/平米')
('', '西海岸长信海岸水城，配套成熟，环境优越，适合居住。', '长信·海岸水城  ', '高楼层(共8层)暂无数据  -  西海岸', '1200万', '单价37736元/平米')
('', '西海岸正规大三房，精装修，可拎包入住', '夏威夷海岸  ', '中楼层(共6层)板楼  -  西海岸', '270万', '单价20997元/平米')
('https://image1.ljcdn.com/460100-inspection/23e886a5-f8ad-4303-8736-456d782349e0.jpg.296x216.jpg', '海口汽车西站，3房，复式，精装修', '金侨大厦  ', '中楼层(共26层)暂无数据  -  秀英', '91.8万', '单价16780元/平米')
('', '锦湖花苑 3室2厅 195万', '锦湖花苑  ', '低楼层(共15层)暂无数据  -  秀英', '195万', '单价15633元/平米')
('', '秀英区海秀快速路毛坯三房三阳台，小区有泳池!', '瑞园二期  ', '中楼层(共20层)塔楼  -  秀英', '200万', '单价18019元/平米')
('', '正规 三房两厅一卫 南北对流 满五年多套，税费少！', '七彩阳光  ', '高楼层(共15层)暂无数据  -  秀英', '193万', '单价14847元/平米')
('https://image1.ljcdn.com/460100-inspection/023715d2-3001-43c2-814d-dd10fbb4e608.jpg.296x216.jpg', '东汇森语林 视野好 户型方正 精装修正规一室一厅', '东汇·森语林  ', '高楼层(共18层)暂无数据  -  秀英', '80万', '单价13945元/平米')
('', '滨海新天地 西海岸 小户型 总价低', '滨海新天地  ', '高楼层(共17层)板塔结合  -  西海岸', '96万', '单价19976元/平米')
('', '正规一居室，产权清晰，满2年免征增值税5.6%', '梦享·龙腾湾  ', '高楼层(共30层)板楼  -  西海岸', '115万', '单价18549元/平米')
('', '西海岸片区，小区配套，正规2房', '大华·锦绣海岸  ', '低楼层(共20层)板楼  -  西海岸', '260万', '单价27206元/平米')
('https://image1.ljcdn.com/460100-inspection/dff6ba49-3391-4818-b64d-9e03706c63d8.JPG.296x216.jpg', '金桥大厦 户型方正 采光通风好', '金侨大厦  ', '中楼层(共26层)暂无数据  -  秀英', '165万', '单价11000元/平米')
('', '梦享龙腾湾，一线海景，小户型，毛坯房', '梦享·龙腾湾  ', '低楼层(共30层)板楼  -  西海岸', '102万', '单价16838元/平米')
('', '西海岸 海岸赛拉维  毛坯大三房', '海岸赛拉维  ', '高楼层(共19层)塔楼  -  西海岸', '220万', '单价19820元/平米')
('', '滨海新天地精装3房2厅，全明户型', '滨海新天地  ', '高楼层(共17层)板塔结合  -  西海岸', '287万', '单价24892元/平米')
('https://image1.ljcdn.com/460100-inspection/055368b0-2695-49a9-8034-ce3074e27f50.jpg.296x216.jpg', '蓝海佳园 不满两年 正规一室一厅', '蓝海佳园  ', '低楼层(共11层)暂无数据  -  秀英', '100万', '单价16950元/平米')
('https://image1.ljcdn.com/460100-inspection/eed71a5d-6118-4b35-b933-f69bb1681fe9.jpg.296x216.jpg', '金侨大厦 西站旁 电梯房 看房方便', '金侨大厦  ', '高楼层(共26层)暂无数据  -  秀英', '59.8万', '单价13811元/平米')
('', '秀英大道32号 海岛阳光一期 4房', '海岛阳光一期  ', '低楼层(共7层)暂无数据  -  秀英', '225万', '单价17422元/平米')
('', '西海岸片区，小区配套，正规2房', '大华·锦绣海岸  ', '中楼层(共18层)塔楼  -  西海岸', '176万', '单价22573元/平米')
('https://image1.ljcdn.com/460100-inspection/95ec1e3e-7e74-4dcd-ba87-302bfeef8516.jpg.296x216.jpg', '此房是难得的海景房，视野开阔，采光好', '海域阳光  ', '低楼层(共32层)板塔结合  -  西海岸', '230万', '单价17038元/平米')
('', '世贸 金华苑 二房二厅 带超大阳台', '金华苑  ', '中楼层(共19层)暂无数据  -  秀英', '145万', '单价16112元/平米')
('', '户型方正设计好，无浪费，采光通风效果好。', '新景立大厦  ', '低楼层(共15层)暂无数据  -  西海岸', '134万', '单价11978元/平米')
('', '蓝城印象，南北通透，四房，带车位', '城投•蓝城印象二期  ', '低楼层(共30层)暂无数据  -  西海岸', '330万', '单价22074元/平米')
('https://image1.ljcdn.com/460100-inspection/a8cf3b4e-aebe-417e-a301-99eecac0a16f.jpg.296x216.jpg', '凤凰雅苑 毛坯房 正规三房 采光充足 视野开阔', '凤凰雅苑  ', '低楼层(共23层)暂无数据  -  秀英', '200万', '单价17095元/平米')
('', '配套成熟，西海岸配套全享受，方便', '华府蓝湾  ', '中楼层(共25层)塔楼  -  西海岸', '145万', '单价16478元/平米')
('', '此房满两年，高层，采光好，视野宽阔。', '梦享·龙腾湾  ', '中楼层(共30层)板楼  -  西海岸', '110万', '单价23395元/平米')
('', '西海岸毛坯房带花园 可以按揭 养 老 投 资', '夏威夷海岸  ', '低楼层(共6层)板楼  -  西海岸', '320万', '单价27119元/平米')
('https://image1.ljcdn.com/460100-inspection/dfae6be4-a638-4522-aa97-2b4f5a9ef752.jpg.296x216.jpg', '展兴高新花园正规2房，产证满二可按揭，楼层舒适', '展兴高新花园  ', '高楼层(共22层)暂无数据  -  秀英', '153万', '单价16660元/平米')
('', '业主诚心出售!西海岸绿地文化城，精装两房，高楼层', '绿地文化城  ', '高楼层(共26层)板塔结合  -  西海岸', '154万', '单价20000元/平米')
('', '金外滩花园，户型方正，采光充足', '金外滩花园  ', '低楼层(共12层)暂无数据  -  秀英', '88万', '单价20000元/平米')
('', '西海岸塞拉维 高楼层 视野开阔 采光充足', '海岸赛拉维  ', '中楼层(共18层)塔楼  -  西海岸', '260万', '单价26531元/平米')
('https://image1.ljcdn.com/460100-inspection/8410fe9c-577a-4353-a914-9916d10f0b43.jpg.296x216.jpg', '水云天，一梯两户，精装送家具家电，可以按揭', '水云天  ', '中楼层(共11层)暂无数据  -  秀英', '260万', '单价17898元/平米')
('', '铭盛檀香洲 3室2厅 168万', '铭盛檀香洲  ', '中楼层(共25层)暂无数据  -  秀英', '168万', '单价16000元/平米')
('', '西海岸 五源河 精装两房 超大阳台', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '165万', '单价22021元/平米')
('https://image1.ljcdn.com/460100-inspection/fc44e3d0-41fc-41c1-b1e9-115b5e8d4062.jpg.296x216.jpg', '秀英省医院旁毛坯二房二厅低价出售', '秀华旺居  ', '高楼层(共9层)暂无数据  -  秀英', '152万', '单价16000元/平米')
('https://image1.ljcdn.com/460100-inspection/2713393f-4e50-425f-8287-4b0a99cfab46.jpg.296x216.jpg', '西海岸片区，视野宽阔，采光充足，精装修', '华盛中央公园  ', '低楼层(共34层)塔楼  -  西海岸', '118万', '单价20458元/平米')
('', '锦湖花苑 2室2厅 175万', '锦湖花苑  ', '高楼层(共15层)暂无数据  -  秀英', '175万', '单价15987元/平米')
('', '大华锦绣海岸 西海岸片区，户型方正，明厨明卫！', '大华·锦绣海岸  ', '中楼层(共21层)塔楼  -  西海岸', '180万', '单价21177元/平米')
('', '方正两居室，南北通透户型，产权清晰，业主诚心出售。', '龙光海云天  ', '高楼层(共18层)板塔结合  -  西海岸', '165万', '单价20122元/平米')
('https://image1.ljcdn.com/460100-inspection/c0b11b96-f88b-4447-84d0-cd6735c1d6a1.jpg.296x216.jpg', '阳光西海岸 两房两卫海景房 南北通透 配套齐全', '阳光西海岸  ', '16层暂无数据  -  西海岸', '255万', '单价23275元/平米')
('', '正规的大2房，五源河校区，步行到购物广场，生活方便', '晨晖帝景  ', '高楼层(共17层)板楼  -  西海岸', '228万', '单价24511元/平米')
('', '永万路 凯撒豪庭 精装小两房户型 64平仅售115万！', '凯撒豪庭  ', '低楼层(共12层)暂无数据  -  西海岸', '115万', '单价17830元/平米')
('', '南光西海湾，联排跃层洋房，可以按揭！70年产权', '南光·西海湾  ', '中楼层(共5层)板楼  -  西海岸', '638万', '单价24589元/平米')
('https://image1.ljcdn.com/460100-inspection/3f66936f-496f-413d-800c-611ddceb613f.jpg.296x216.jpg', '满二免增值 精装拎包入住 生活便利', '万科浪琴湾  ', '低楼层(共5层)暂无数据  -  西海岸', '120万', '单价17911元/平米')
('', '丽晶花园  房子户型方正 精装修', '丽晶花园  ', '高楼层(共12层)暂无数据  -  秀英', '180万', '单价14562元/平米')
('', '房屋满2年，现在毛坯出售，经典2房设计。', '西海瑞园  ', '中楼层(共16层)板塔结合  -  西海岸', '193万', '单价20316元/平米')
('', '正规2房，交通便利，配套齐全！', '洛杉矶城  ', '中楼层(共30层)暂无数据  -  秀英', '210万', '单价24706元/平米')
('https://image1.ljcdn.com/460100-inspection/cdcf172b-5482-43f7-9dfe-a4eb98b81d86.jpg.296x216.jpg', '远大购物广场旁，海长流一期精装两房，售价165万', '绿地海长流  ', '低楼层(共12层)暂无数据  -  西海岸', '165万', '单价17363元/平米')
('', '小户型，正规1房，环境优美！！', '长信蓝郡  ', '高楼层(共14层)暂无数据  -  西海岸', '120万', '单价30849元/平米')
('', '宝安滨海豪庭 滨海九小旁 大四房 南北通透', '宝安滨海豪庭  ', '中楼层(共30层)暂无数据  -  秀英', '385万', '单价20158元/平米')
('', '金章华府（秀英区）精装3房1厅1卫1 中层 户型方正', '金章华府  ', '中楼层(共25层)暂无数据  -  秀英', '198万', '单价13470元/平米')
('https://image1.ljcdn.com/460100-inspection/d1f8c630-2c50-455f-8370-c705642ac721.jpg.296x216.jpg', '水岸珈蓝精装两房拎包入住家电赠送产权清晰', '水岸珈蓝  ', '中楼层(共11层)暂无数据  -  秀英', '195万', '单价21957元/平米')
