('https://image1.ljcdn.com/460100-inspection/39ddd9f4-793f-4036-bc18-d62208cc56e8.jpg.296x216.jpg', '满五唯一 拎包入住 生活便利 诚心出售', '蓝海佳园  ', '低楼层(共8层)暂无数据  -  秀英', '101万', '单价13997元/平米')
('https://image1.ljcdn.com/460100-inspection/43e2c7f0-f16d-4472-b1dd-0edde9f186ad.jpg.296x216.jpg', '房屋不满二，精装修，采光充足。', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '120万', '单价30000元/平米')
('https://image1.ljcdn.com/460100-inspection/b86faf88-49d8-42d2-879b-ecf1d691d4ed.jpg.296x216.jpg', '经典两房，精装修，采光充足，视野好，不满2年', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '195万', '单价26352元/平米')
('https://image1.ljcdn.com/460100-inspection/8c1c2a26-520e-4e42-858a-763f52fbf5ce.jpg.296x216.jpg', '机关宿舍 省人民医院旁 精装三房 拎包入住', '秀英区机关第二宿舍区  ', '中楼层(共6层)暂无数据  -  秀英', '123万', '单价15663元/平米')
('https://image1.ljcdn.com/460100-inspection/f5296bd6-bcfe-441f-96c0-1cf4c5d19175.JPG.296x216.jpg', '海悦东方，精装修2+1户型，家电家具拎包入住', '海悦东方  ', '中楼层(共26层)板楼  -  秀英', '175万', '单价21085元/平米')
('https://image1.ljcdn.com/460100-inspection/38b956fa-8c67-45c1-9e9c-0f8e864d47e4.jpg.296x216.jpg', '维多利亚花园 满五年唯一 正规四房', '维多利亚花园  ', '高楼层(共12层)暂无数据  -  秀英', '230万', '单价14650元/平米')
('https://image1.ljcdn.com/460100-inspection/ed5bb733-c504-4878-a93f-d02c0687017f.jpg.296x216.jpg', '文博府 3室2厅 248万', '文博府  ', '中楼层(共24层)暂无数据  -  秀英', '248万', '单价20033元/平米')
('https://image1.ljcdn.com/460100-inspection/56a85361-8a8d-479f-8c62-3709aa089152.jpg.296x216.jpg', '秀英万达旁 锦地翰城一期 精装三房 中层楼 南北', '锦地翰城  ', '低楼层(共32层)塔楼  -  秀英', '260万', '单价20228元/平米')
('https://image1.ljcdn.com/460100-inspection/e3c2c9c2-45d6-4eaa-892c-90a08f212e8f.jpg.296x216.jpg', '绿地海长流一期 （2室2厅1卫+入户花园)', '绿地海长流  ', '低楼层(共22层)暂无数据  -  西海岸', '199万', '单价21992元/平米')
('https://image1.ljcdn.com/460100-inspection/8c11b226-8240-4739-92a8-8305e827b140.jpg.296x216.jpg', '房子年限新，九小和侨中近，去西海岸和回市区都方便', '天伦誉海湾  ', '中楼层(共31层)板楼  -  西海岸', '377万', '单价26000元/平米')
('', '通风采光好，正规2房，明厨明卫，户型方正，产权清晰', '海岸赛拉维  ', '低楼层(共18层)塔楼  -  西海岸', '270万', '单价27730元/平米')
('', '西海岸海岸赛拉维，新装修，拎包入住', '海岸赛拉维  ', '高楼层(共15层)板楼  -  西海岸', '398万', '单价26633元/平米')
('', '海岛阳光二期 小区绿化高 满五多套三房', '海岛阳光二期  ', '中楼层(共6层)暂无数据  -  秀英', '180万', '单价16364元/平米')
('', '金侨大厦，满五多套，业主诚心出售，三室', '金侨大厦  ', '低楼层(共26层)暂无数据  -  秀英', '170万', '单价11337元/平米')
('', '海景房， 交通便利， 视野宽阔 ，采光充足，楼层好', '夏威夷海岸  ', '低楼层(共6层)板楼  -  西海岸', '260万', '单价22609元/平米')
('', '南北朝向，海岸风光，业主精心装修', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '139.8万', '单价18867元/平米')
('', '海域阳光一期 精装大跃层两房两厅一厨两卫', '海域阳光  ', '中楼层(共32层)板塔结合  -  西海岸', '285万', '单价21112元/平米')
('', '鑫海华庭 2室2厅 145万', '鑫海华庭  ', '高楼层(共17层)板塔结合  -  秀英', '145万', '单价18937元/平米')
('', '西海岸  五源河  方正大四房', '海岸赛拉维  ', '低楼层(共19层)塔楼  -  西海岸', '248万', '单价17143元/平米')
('', '业主诚心卖房  秀英14年的次新小区 首付不到60万', '时代城  ', '低楼层(共31层)板楼  -  西海岸', '196.5万', '单价16997元/平米')
('', '泰达天海国际 一线海景房 前后无遮挡 精装修 小洋房', '泰达天海国际  ', '高楼层(共6层)板楼  -  西海岸', '760万', '单价33481元/平米')
('', '泰达天海国际 一线海景房 前后无遮挡 毛坯 小洋房', '泰达天海国际  ', '高楼层(共6层)板楼  -  西海岸', '720万', '单价30509元/平米')
('', '户型周正  次新小区 环境好 中间楼层 精装修', '置地·御海公馆  ', '中楼层(共26层)板塔结合  -  西海岸', '166万', '单价19967元/平米')
('', '秀山观海苑 2室2厅 158万', '秀山观海苑  ', '低楼层(共10层)暂无数据  -  西海岸', '158万', '单价18124元/平米')
('', '西海瑞园大三房环境好，配套齐全', '西海瑞园  ', '低楼层(共16层)板塔结合  -  西海岸', '191.3万', '单价18500元/平米')
('', '长信蓝郡 1室1厅 179万', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '179万', '单价29834元/平米')
('', '东汇森语林 老城 品质社区 两室', '东汇·森语林  ', '低楼层(共18层)暂无数据  -  秀英', '103万', '单价14037元/平米')
('', '秀英西海岸紫园  户型方正 南北通透 满五年', '紫园  ', '中楼层(共10层)板楼  -  西海岸', '290万', '单价29592元/平米')
('', '华盛中央公园 3室2厅 170万', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '170万', '单价17610元/平米')
('', '西海岸 海岸豪庭 精装2两房  业主诚心出售', '海岸豪庭  ', '低楼层(共24层)塔楼  -  西海岸', '190万', '单价20187元/平米')
('', '水云天 3室2厅 200万', '水云天  ', '低楼层(共11层)暂无数据  -  秀英', '200万', '单价14493元/平米')
('', '此房满五唯一，交通便利，配套齐全，业主诚心卖', '海岛国际名城  ', '低楼层(共17层)暂无数据  -  秀英', '160万', '单价18911元/平米')
('', '西海岸片区 视野宽阔 采光充足 精装三房 通风采光', '华盛中央公园  ', '中楼层(共34层)塔楼  -  西海岸', '180万', '单价18750元/平米')
('', '西海岸大型小区小户型，大开间户型', '海域阳光  ', '低楼层(共32层)塔楼  -  西海岸', '135万', '单价35065元/平米')
('', '西海岸 祥和家园 板楼 小区环境好 出行方便', '祥和家园  ', '中楼层(共18层)暂无数据  -  西海岸', '280万', '单价22223元/平米')
('', '长信蓝郡 精装一房 带阳台  拎包入住 “九小”隔壁', '长信蓝郡  ', '高楼层(共14层)暂无数据  -  西海岸', '106万', '单价26500元/平米')
('', '菩提树 2室2厅 280万', '菩提树  ', '高楼层(共15层)板楼  -  西海岸', '280万', '单价29474元/平米')
('', '海景房 交通便利 视野宽阔 采光充足', '夏威夷海岸  ', '低楼层(共6层)板楼  -  西海岸', '198万', '单价19826元/平米')
('', '西海岸精装两房，近市政府，大阳台，落地窗，户型通透', '绿地海长流  ', '高楼层(共23层)暂无数据  -  西海岸', '175万', '单价18375元/平米')
('', '西海岸 华盛中 央公园 毛坯两房', '华盛中央公园  ', '低楼层(共34层)塔楼  -  西海岸', '165万', '单价20625元/平米')
('https://image1.ljcdn.com/460100-inspection/dde022f5-7789-42fc-bdaa-e6a6f4504515.jpg.296x216.jpg', '西海岸16年房子单价仅20000，送入户花园。', '海岸赛拉维  ', '中楼层(共19层)塔楼  -  西海岸', '200.7万', '单价18002元/平米')
('https://image1.ljcdn.com/460100-inspection/6c58de15-fcf2-4d33-9fa7-f3f79211b6fb.jpg.296x216.jpg', '不满2年！ 长滨四路，近市政府，小区环境好，拎包入住', '绿地海长流  ', '中楼层(共22层)暂无数据  -  西海岸', '170万', '单价18013元/平米')
('https://image1.ljcdn.com/460100-inspection/aba17b05-2b84-463c-a37c-e6ec38daab5b.jpg.296x216.jpg', '西海瑞园 西海岸 别墅住宅一起 管理居住惬意 安静', '西海瑞园  ', '高楼层(共15层)塔楼  -  西海岸', '188万', '单价20077元/平米')
('https://image1.ljcdn.com/460100-inspection/737369a0-63b5-451c-a45b-abb0c16d0ac6.jpg.296x216.jpg', '毛坯 新小区 西海岸 环境好 两房', '华盛中央公园  ', '高楼层(共34层)塔楼  -  西海岸', '175万', '单价18128元/平米')
('https://image1.ljcdn.com/460100-inspection/998e7dba-fe0f-40ba-aa8a-42bdf18ea49d.jpg.296x216.jpg', '户型方正 成熟小区 采光充足 看房方便', '绿地海长流  ', '中楼层(共22层)暂无数据  -  西海岸', '245万', '单价18422元/平米')
('https://image1.ljcdn.com/460100-inspection/603d338f-f121-45c3-81ff-658ed03e8add.jpg.296x216.jpg', '西海岸 龙光海云天 南北通透3房', '龙光海云天  ', '中楼层(共18层)板塔结合  -  西海岸', '263万', '单价25058元/平米')
('https://image1.ljcdn.com/460100-inspection/0998c347-cb11-4dd2-b3fc-121c5fa0aa2b.jpg.296x216.jpg', '西海岸片区，南北通透，正规3房有，小区带泳池', '阳光西海岸  ', '高楼层(共15层)暂无数据  -  西海岸', '235万', '单价16977元/平米')
('https://image1.ljcdn.com/460100-inspection/bada2a72-0f0b-4045-8b20-eaa2ff065c90.jpg.296x216.jpg', '满五唯一，产证在手，随时买卖可以拎包入住', '文博府  ', '低楼层(共18层)暂无数据  -  秀英', '200万', '单价15625元/平米')
('https://image1.ljcdn.com/460100-inspection/7d72e622-7fd5-4ff6-80ac-495eed6d3a43.jpg.296x216.jpg', '大华锦绣海岸 西海岸片区，户型方正，明厨明卫！', '大华·锦绣海岸  ', '低楼层(共21层)塔楼  -  西海岸', '229万', '单价23954元/平米')
('https://image1.ljcdn.com/460100-inspection/d19fae04-0066-4311-9d84-a6458690a143.jpg.296x216.jpg', '西海岸五源河森林公园旁，龙光海云天，两房，拎包入住', '龙光海云天  ', '中楼层(共18层)板塔结合  -  西海岸', '179万', '单价21830元/平米')
('https://image1.ljcdn.com/460100-inspection/33484172-680a-4b20-b757-4b970ac0cc5e.jpg.296x216.jpg', '满两年 毛坯 板楼 南北通透 海口湾 中间楼层', '丽晶维港  ', '中楼层(共21层)暂无数据  -  秀英', '280万', '单价18919元/平米')
('https://image1.ljcdn.com/460100-inspection/2ae4596f-bcd8-420d-8868-055b0f9a1730.jpg.296x216.jpg', '秀英区西海岸美林路 慧远美林谷 低容 积 率 南北通透', '慧远美林谷  ', '中楼层(共5层)暂无数据  -  西海岸', '750万', '单价41630元/平米')
('https://image1.ljcdn.com/460100-inspection/rsp_pic_uploadb9113d0b-ec87-4118-a4c2-433398847839.JPG.296x216.jpg', '西海岸毛坯两房，  业主诚心出售  看房方便', '晨晖帝景  ', '低楼层(共17层)板楼  -  西海岸', '185万', '单价19942元/平米')
('https://image1.ljcdn.com/460100-inspection/9401fb13-374f-4e5d-840e-4a1aa91ceeca.jpg.296x216.jpg', '大户型彰显大家风范，通透的大厅南北贯通，通风效果好', '宝安滨海豪庭  ', '高楼层(共30层)暂无数据  -  秀英', '980万', '单价37693元/平米')
('https://image1.ljcdn.com/460100-inspection/f9ed9404-ae7d-4848-8c9f-2d8f5d59aaa0.jpg.296x216.jpg', '西海岸永万路 长信蓝郡 73平两房 单价低！看房方便！', '长信蓝郡  ', '低楼层(共14层)暂无数据  -  西海岸', '186万', '单价25228元/平米')
('https://image1.ljcdn.com/460100-inspection/2d05bec7-a8b8-46fc-aa76-23a662270e91.jpg.296x216.jpg', '滨海大道 丽晶路《金外滩花园》 滨海  满五唯一 毛坯', '金外滩花园  ', '中楼层(共12层)暂无数据  -  秀英', '100万', '单价22472元/平米')
('https://image1.ljcdn.com/460100-inspection/95b992bc-b631-47f4-961f-6806f3b1adc3.jpg.296x216.jpg', '此房位于秀英主城区，毛坯未装修，坐等主人来随意', '秀华旺居  ', '高楼层(共9层)暂无数据  -  秀英', '178万', '单价16182元/平米')
('https://image1.ljcdn.com/460100-inspection/rsp_pic_uploadb0246053-5fe4-4b88-be36-799f823fdff7.jpg.296x216.jpg', '西海岸 专 家公寓 三房两厅一厨一卫 精装修 拎包入住', '专家公寓  ', '中楼层(共17层)暂无数据  -  西海岸', '165万', '单价17746元/平米')
('https://image1.ljcdn.com/460100-inspection/ed86e15e-adbb-4df9-9d4e-67c1103135f5.jpg.296x216.jpg', '此房满2年多套，采光好，业主诚心出卖', '置地·御海公馆  ', '低楼层(共26层)板塔结合  -  西海岸', '168万', '单价20195元/平米')
('https://image1.ljcdn.com/460100-inspection/rsp_pic_upload43072106-2f5b-4ee3-9d1b-eae5691ca21b.jpg.296x216.jpg', '精装修 采光充足 三房两卫  视野开阔 离海近', '华秀大厦  ', '中楼层(共16层)暂无数据  -  秀英', '146万', '单价12467元/平米')
('https://image1.ljcdn.com/460100-inspection/e0d61083-118c-4bd6-a756-a555b31d0b6d.jpg.296x216.jpg', '满五年，高楼层，采光好，视野好，无遮挡', '文博府  ', '高楼层(共18层)暂无数据  -  秀英', '195万', '单价17379元/平米')
('https://image1.ljcdn.com/460100-inspection/78cbc658-2aa7-4821-9458-3dea0c1cfd46.jpg.296x216.jpg', '逸海楼小区 满五唯一 看房方便。', '逸海楼小区  ', '低楼层(共18层)暂无数据  -  秀英', '280万', '单价18830元/平米')
('https://image1.ljcdn.com/460100-inspection/c5c63d07-8317-404c-9494-0c65fef68b66.jpg.296x216.jpg', '富康路兰海佳园 交通方便 低楼层 大户型跃层 四房', '兰海佳园  ', '低楼层(共9层)暂无数据  -  秀英', '260万', '单价17258元/平米')
('https://image1.ljcdn.com/460100-inspection/09d4d6f8-1fe6-442b-b852-777554145724.jpg.296x216.jpg', '世贸精装修两房，可改三房，金贸西路丘海大道龙江大厦', '龙江大厦  ', '高楼层(共22层)暂无数据  -  秀英', '138万', '单价13799元/平米')
('https://image1.ljcdn.com/460100-inspection/e1f78427-ce5c-4584-aa85-8489027ba279.jpg.296x216.jpg', '西海岸精装三房  产证满二  税费低', '龙光海云天  ', '低楼层(共18层)板塔结合  -  西海岸', '225万', '单价21029元/平米')
('https://image1.ljcdn.com/460100-inspection/76c4ab25-bed0-4291-bd77-a9606a7be3df.jpg.296x216.jpg', '满五多套，税费超低，上学方便好地段秀英和西海岸中间', '观澜公寓  ', '低楼层(共5层)暂无数据  -  西海岸', '280万', '单价21706元/平米')
('https://image1.ljcdn.com/460100-inspection/0fcd7e6e-5e45-494d-9e4b-3e23d74d1892.jpg.296x216.jpg', '小区环境优美 南北通透 采光充足', '慧远美林谷  ', '中楼层(共6层)板楼  -  西海岸', '660万', '单价35676元/平米')
('https://image1.ljcdn.com/460100-inspection/76942db4-b756-4c3b-a437-018bccb4e291.jpg.296x216.jpg', '西海岸一线海景房 万科开发商物业 小洋房跃层满五唯一', '万科浪琴湾  ', '中楼层(共4层)暂无数据  -  西海岸', '600万', '单价27778元/平米')
('https://image1.ljcdn.com/460100-inspection/e57302e5-449f-410d-91d3-6290ce7a154f.jpg.296x216.jpg', '正规的3房2厅1厨2卫，全明户型，采光充足', '瑞园一期  ', '中楼层(共12层)暂无数据  -  秀英', '248万', '单价19375元/平米')
('https://image1.ljcdn.com/460100-inspection/f0b2de33-cc0f-4e0b-a25a-2173cc79a3e0.jpg.296x216.jpg', '交通方便 生活方便 大亭湖水系 环境优雅舒适 居家型', '水云天  ', '中楼层(共11层)暂无数据  -  秀英', '170万', '单价17526元/平米')
('https://image1.ljcdn.com/460100-inspection/f86782c1-592f-4bc1-a95f-63ffc75d36ad.jpg.296x216.jpg', '秀英 丘海大道  汇宇花园 医疗配套设施齐全 交通便利', '汇宇花园  ', '低楼层(共6层)暂无数据  -  秀英', '169万', '单价13137元/平米')
('https://image1.ljcdn.com/460100-inspection/2af893e9-f4d7-471a-bc05-844bef9b46c2.jpg.296x216.jpg', '紫园 2室2厅 260万', '紫园  ', '中楼层(共11层)板楼  -  西海岸', '260万', '单价29546元/平米')
('https://image1.ljcdn.com/460100-inspection/1168137e-e05b-4230-bbab-2b407e767fda.jpg.296x216.jpg', '汇宇花园 秀英区政府旁 精装五房 满五多套 拎包入住', '汇宇花园  ', '低楼层(共6层)暂无数据  -  秀英', '179万', '单价12518元/平米')
('https://image1.ljcdn.com/460100-inspection/7ff13e15-848b-4a40-9b72-983654e141df.jpg.296x216.jpg', '万科浪琴湾，花园洋楼社区，西海岸新城区', '万科浪琴湾  ', '中楼层(共5层)暂无数据  -  西海岸', '150万', '单价22486元/平米')
('https://image1.ljcdn.com/460100-inspection/d8e4c797-b693-47ae-b578-ed0176be09d8.jpg.296x216.jpg', '正规的3房2厅2卫 中高楼层 省医院旁 汽车站旁', '金华苑  ', '中楼层(共19层)暂无数据  -  秀英', '180万', '单价13905元/平米')
('https://image1.ljcdn.com/460100-inspection/1bfe05cb-ba97-428d-920c-d5a9f94fffd2.jpg.296x216.jpg', '秀英永万路，满五唯一，拎包入住，采光通风好！', '新景立大厦  ', '高楼层(共15层)暂无数据  -  西海岸', '122万', '单价12610元/平米')
('https://image1.ljcdn.com/460100-inspection/c2db3314-d001-4437-b54f-299cb4ed1392.jpg.296x216.jpg', '置地·御海公馆 三房两卫 精装修 物业管理', '置地·御海公馆  ', '低楼层(共26层)板塔结合  -  西海岸', '278万', '单价22064元/平米')
('https://image1.ljcdn.com/460100-inspection/680a4868-136f-429a-b510-9d7b73362542.jpg.296x216.jpg', '此房满五年家庭一套 ，正规两房，业主诚心出售', '蓝海佳园  ', '中楼层(共8层)暂无数据  -  秀英', '170万', '单价19260元/平米')
('https://image1.ljcdn.com/460100-inspection/112a5548-3e32-4921-a120-64b1bc68a50c.jpg.296x216.jpg', '秀英海波市场，满5年多套，3房！', '宝源花园  ', '中楼层(共11层)暂无数据  -  秀英', '170万', '单价18889元/平米')
('https://image1.ljcdn.com/460100-inspection/db374bee-fe39-4125-9ffd-090b9b407498.jpg.296x216.jpg', '丘海大道金银广场附  近 龙江大厦  省医院', '龙江大厦  ', '中楼层(共22层)暂无数据  -  秀英', '183万', '单价14132元/平米')
('https://image1.ljcdn.com/460100-inspection/31b30938-14eb-4c8a-bb6e-2c60081eeb2d.jpg.296x216.jpg', '万花坊 单价1.9W 环境优美，毛坯房', '万花坊  ', '高楼层(共18层)暂无数据  -  秀英', '248万', '单价19006元/平米')
('https://image1.ljcdn.com/460100-inspection/fccb0f57-cb63-4562-96df-84baa3e77f0b.jpg.296x216.jpg', '满五年一套房，精装修，采光充足', '水云天  ', '高楼层(共11层)暂无数据  -  秀英', '200万', '单价17242元/平米')
('https://image1.ljcdn.com/460100-inspection/ce2de0ed-5545-46a7-b4cd-9860e93a09de.jpg.296x216.jpg', '秀英区 秀山观海苑 一室  户型方正', '秀山观海苑  ', '中楼层(共10层)暂无数据  -  西海岸', '88.8万', '单价15952元/平米')
('https://image1.ljcdn.com/460100-inspection/ff7ad7e2-0d7f-4b51-bbbf-6eb21198c374.jpg.296x216.jpg', '西海岸一线海景 毛坯两房 满两年', '梦享·龙腾湾  ', '高楼层(共30层)暂无数据  -  西海岸', '215万', '单价24237元/平米')
('https://image1.ljcdn.com/460100-inspection/fc020b59-57ff-4084-9264-73d6a3c2ec34.jpg.296x216.jpg', '绿地海长流二期 （2室2厅1卫+入户花园)', '绿地海长流  ', '中楼层(共23层)暂无数据  -  西海岸', '206万', '单价21915元/平米')
('https://image1.ljcdn.com/460100-inspection/731744d7-5162-48a5-8fe1-e11d3ae6c0d8.jpg.296x216.jpg', '秀英丽晶路  水岸珈蓝 精装2房', '水岸珈蓝  ', '中楼层(共11层)暂无数据  -  秀英', '190万', '单价21375元/平米')
('https://image1.ljcdn.com/460100-inspection/4555ac30-ee5d-499d-b1d5-47418f2e177d.jpg.296x216.jpg', '金城万花坊复式房子，家电齐全，拎包入住', '金城万花坊  ', '低楼层(共18层)暂无数据  -  秀英', '245万', '单价20175元/平米')
('https://image1.ljcdn.com/460100-inspection/68a129ba-6d9e-4d55-910a-d1ddede082fc.jpg.296x216.jpg', '海口秀英区 通华小区 采光充足 视野开阔', '通华小区  ', '高楼层(共9层)暂无数据  -  西海岸', '99万', '单价11594元/平米')
('https://image1.ljcdn.com/460100-inspection/1a02fe10-c5cd-49e8-a524-313ef9fc6975.jpg.296x216.jpg', '通风采光好，精装正规2房，明厨明卫，户型方正', '海岸赛拉维  ', '低楼层(共19层)塔楼  -  西海岸', '175万', '单价21110元/平米')
('https://image1.ljcdn.com/460100-inspection/161308c9-dfde-4706-a782-aa9220d96685.jpg.296x216.jpg', '金桥大厦 满五年 精装修 层高有三米八', '金侨大厦  ', '中楼层(共26层)暂无数据  -  秀英', '84.8万', '单价12997元/平米')
('https://image1.ljcdn.com/460100-inspection/9dcab43f-7aba-475d-8e16-f92667126c3c.jpg.296x216.jpg', '（环强·御景湾）精装修三房 业主诚意出售', '环强·御景湾  ', '高楼层(共29层)板塔结合  -  秀英', '220万', '单价20371元/平米')
('https://image1.ljcdn.com/460100-inspection/96fccb11-edef-4163-bd2f-925f62b6427b.jpg.296x216.jpg', '富力·盈溪谷 品质小区 户型方正 满五唯一 采光充足', '富力盈溪谷  ', '中楼层(共5层)暂无数据  -  西海岸', '210万', '单价16407元/平米')
('https://image1.ljcdn.com/460100-inspection/bc7fcdd3-1e49-49e8-9154-910f2d6a97a2.jpg.296x216.jpg', '泰达天海国际，一楼带花园，大三房', '泰达天海国际  ', '低楼层(共6层)板楼  -  西海岸', '490万', '单价30296元/平米')
('https://image1.ljcdn.com/460100-inspection/ead46f5e-a3da-46c8-81bc-12e186335317.jpg.296x216.jpg', '西海岸 毛坯两房  满五唯一 税费低 看海户型', '菩提树  ', '中楼层(共15层)板楼  -  西海岸', '225万', '单价19838元/平米')
('https://image1.ljcdn.com/460100-inspection/dd4da4a2-7176-485c-b4de-54db61e0fcc8.jpg.296x216.jpg', '海长流精装两房，中间楼层，拎包入住', '绿地海长流  ', '中楼层(共23层)暂无数据  -  西海岸', '170万', '单价18280元/平米')
('https://image1.ljcdn.com/460100-inspection/06801913-bf63-4c7e-8562-355371f5d315.jpg.296x216.jpg', '龙华区 通华小区 正规2房 采光好', '通华小区  ', '中楼层(共9层)暂无数据  -  西海岸', '148万', '单价18547元/平米')
('https://image1.ljcdn.com/460100-inspection/242e708d-def0-4db0-b87f-e66b1ec1d347.jpg.296x216.jpg', '户型好 明厨明卫 户型采光充足 生活便利', '天伦誉海湾  ', '中楼层(共30层)塔楼  -  西海岸', '180万', '单价20690元/平米')
('https://image1.ljcdn.com/460100-inspection/473b98da-33f9-4a34-a942-7f60597b8479.jpg.296x216.jpg', '西海岸观澜公寓 南北板楼 带装修  诚心出售', '观澜公寓  ', '低楼层(共7层)暂无数据  -  西海岸', '228万', '单价23031元/平米')
('https://image1.ljcdn.com/460100-inspection/725d30e3-37fa-4ccf-8e4c-b8ac3e40317e.jpg.296x216.jpg', '秀英万达广场88.42平毛坯两房南北通高楼层两梯四户', '万达·骏豪仕家  ', '高楼层(共32层)暂无数据  -  秀英', '180万', '单价20358元/平米')
('https://image1.ljcdn.com/460100-inspection/8fd7dbf3-0b0a-4198-88d2-f8af73973200.jpg.296x216.jpg', '世贸 正规2房带阳台 看房方便', '龙江大厦  ', '高楼层(共22层)暂无数据  -  秀英', '125.8万', '单价12995元/平米')
