('https://image1.ljcdn.com/210100-inspection/65ec54f2-3154-44dd-93c3-ebdb1517d5e8.jpg.296x216.jpg', '人杰水岸一期多层 精装修 业主自住婚装', '中铁人杰水岸一期  | 3室2厅 | 81.53平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '75万', '单价9200元/平米')
('https://image1.ljcdn.com/210100-inspection/accf0762-5d7f-40bd-b6e1-920c474647d1.jpg.296x216.jpg', '亚泰城 2室1厅 57万', '亚泰城  | 2室1厅 | 77.76平米 | 东南 | 其他', '中楼层(共30层)暂无数据  -  沈北新区', '57万', '单价7331元/平米')
('https://image1.ljcdn.com/210100-inspection/d90f7ef6-63e2-42ac-8365-ef7ee7587166.jpg.296x216.jpg', '三盛颐景御园 2室2厅 50万', '三盛颐景御园  | 2室2厅 | 78.98平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  沈北新区', '50万', '单价6331元/平米')
('https://image1.ljcdn.com/210100-inspection/36a0543a-de55-4bbe-9db0-48f70fb234c0.jpg.296x216.jpg', '华强城 3室2厅 95万', '华强城  | 3室2厅 | 110.65平米 | 南 北 | 其他', '中楼层(共31层)板楼  -  沈北新区', '95万', '单价8586元/平米')
('https://image1.ljcdn.com/210100-inspection/db4f56a6-183a-440a-9def-f67b49e33e04.jpg.296x216.jpg', '中铁人杰水岸一期 2室1厅 56万', '中铁人杰水岸一期  | 2室1厅 | 70.99平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '56万', '单价7889元/平米')
('https://image1.ljcdn.com/210100-inspection/5c2ac489-d846-4ca6-a29d-abb1838370d7.jpg.296x216.jpg', '三盛颐景蓝湾 2室2厅 56.5万', '三盛颐景蓝湾  | 2室2厅 | 76.32平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '56.5万', '单价7404元/平米')
('https://image1.ljcdn.com/210100-inspection/2739d80c-2a22-4688-a6ab-d1bb00099d51.jpg.296x216.jpg', '三盛颐景御园 3室2厅 61万', '三盛颐景御园  | 3室2厅 | 116平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  沈北新区', '61万', '单价5259元/平米')
('https://image1.ljcdn.com/210100-inspection/9cf86923-23ca-41d8-b82a-f00dc98282c9.jpg.296x216.jpg', '三盛颐景蓝湾 2室1厅 61万', '三盛颐景蓝湾  | 2室1厅 | 86.32平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '61万', '单价7067元/平米')
('https://image1.ljcdn.com/210100-inspection/28f8c6f6-5dce-44ea-aa32-53a9deaed0ad.jpg.296x216.jpg', '人杰水岸二期 2室2厅 62万', '人杰水岸二期  | 2室2厅 | 80.34平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  沈北新区', '62万', '单价7718元/平米')
('https://image1.ljcdn.com/210100-inspection/7803d624-229b-4c2f-a15d-97f3a996e169.jpg.296x216.jpg', '沈阳雅居乐C地块，四室两厅两厨四卫，大平层。', '沈阳雅居乐花园C地块  | 4室2厅 | 331.59平米 | 南 北 | 其他', '低楼层(共27层)2016年建板楼  -  沈北新区', '248万', '单价7480元/平米')
('https://image1.ljcdn.com/210100-inspection/f201c5f7-d4cf-4a22-985e-d4e7dcbe6702.jpg.296x216.jpg', '沈阳雅居乐A地块，一室精装修，拎包即住。', '沈阳雅居乐花园A地块  | 1室1厅 | 53平米 | 西 | 其他', '低楼层(共29层)板楼  -  沈北新区', '41万', '单价7736元/平米')
('', '太湖国际花园 1室0厅 22万', '太湖国际花园  | 1室0厅 | 35.53平米 | 北 | 其他', '中楼层(共17层)暂无数据  -  沈北新区', '22万', '单价6192元/平米')
('', '沈北 亚泰城 盛京医院 蒲河路站 红星美凯龙', '亚泰城  | 2室2厅 | 89.4平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '73万', '单价8166元/平米')
('https://image1.ljcdn.com/210100-inspection/4a8cf952-cc5f-474e-a1c9-828d85d22392.jpg.296x216.jpg', '人杰水岸二期 3室2厅 98万', '人杰水岸二期  | 3室2厅 | 89.9平米 | 南 | 其他', '高楼层(共6层)板楼  -  沈北新区', '98万', '单价10902元/平米')
('', '人杰水岸二期 3室2厅 90万', '人杰水岸二期  | 3室2厅 | 109.47平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '90万', '单价8222元/平米')
('https://image1.ljcdn.com/210100-inspection/c1dfce0d-fa53-4aea-8c0e-427ef3e7b042.jpg.296x216.jpg', '江南甲第二期 1室1厅 36万', '江南甲第二期  | 1室1厅 | 41.6平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  沈北新区', '36万', '单价8654元/平米')
('', '华强城 精装 小户型 中间楼层 不挡光 即买即住', '华强城  | 1室1厅 | 48.14平米 | 南 | 其他', '低楼层(共31层)板楼  -  沈北新区', '45万', '单价9348元/平米')
('', '荣盛盛京绿洲 2室2厅 51万', '荣盛盛京绿洲  | 2室2厅 | 88.84平米 | 南 西 | 其他', '低楼层(共18层)2016年建板楼  -  沈北新区', '51万', '单价5741元/平米')
('', '龙腾碧玉湾 3室2厅 86万', '龙腾碧玉湾  | 3室2厅 | 116平米 | 南 北 | 其他', '低楼层(共5层)暂无数据  -  沈北新区', '86万', '单价7414元/平米')
('https://image1.ljcdn.com/210100-inspection/9098c849-b952-4801-962f-c4cd659efdab.jpg.296x216.jpg', '江南甲第二期 1室1厅 45万', '江南甲第二期  | 1室1厅 | 56.4平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  沈北新区', '45万', '单价7979元/平米')
('', '中铁人杰水岸一期 2室1厅 60万', '中铁人杰水岸一期  | 2室1厅 | 79.91平米 | 东 南 北 | 其他', '高楼层(共27层)板楼  -  沈北新区', '60万', '单价7509元/平米')
('https://image1.ljcdn.com/210100-inspection/988956ed-6cf4-4449-bd0f-21e0ab84005b.jpg.296x216.jpg', '碧桂园太阳城 3室2厅 85万', '碧桂园太阳城  | 3室2厅 | 129平米 | 西南 | 其他', '中楼层(共32层)2019年建板楼  -  沈北新区', '85万', '单价6590元/平米')
('', '碧桂园太阳城 3室2厅 82万', '碧桂园太阳城  | 3室2厅 | 101.2平米 | 西南 北 | 其他', '中楼层(共28层)暂无数据  -  沈北新区', '82万', '单价8103元/平米')
('https://image1.ljcdn.com/210100-inspection/8bcfe2ff-c200-4913-9265-5e8de248a614.jpg.296x216.jpg', '香槟新坐标，怒江北街与沈北路交汇处，电梯小高层', '香槟新坐标  | 2室1厅 | 75.18平米 | 南 北 | 其他', '中楼层(共15层)2013年建板楼  -  沈北新区', '56万', '单价7449元/平米')
('', '华强城 1室1厅 49万', '华强城  | 1室1厅 | 54.22平米 | 南 | 其他', '高楼层(共31层)板楼  -  沈北新区', '49万', '单价9038元/平米')
('https://image1.ljcdn.com/210100-inspection/934492bc-44e8-478b-8101-42c1aeaf8bf4.jpg.296x216.jpg', '晨兴翰林水郡 2室1厅 56.5万', '晨兴翰林水郡  | 2室1厅 | 84.83平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  沈北新区', '56.5万', '单价6661元/平米')
('https://image1.ljcdn.com/210100-inspection/70880595-cbe1-4849-946a-43e1590f4eba.jpg.296x216.jpg', '明发锦绣华城 2室2厅 45万', '明发锦绣华城  | 2室2厅 | 74.83平米 | 东南 | 其他', '高楼层(共32层)2011年建板楼  -  沈北新区', '45万', '单价6014元/平米')
('', '中铁人杰水岸一期  盛京 红星 蒲河路站', '中铁人杰水岸一期  | 4室3厅 | 89平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  沈北新区', '192万', '单价21574元/平米')
('', '荣盛盛京绿洲 3室2厅 58万', '荣盛盛京绿洲  | 3室2厅 | 90平米 | 南 北 | 其他', '低楼层(共18层)2017年建板楼  -  沈北新区', '58万', '单价6445元/平米')
('https://image1.ljcdn.com/210100-inspection/adf016b3-a523-4d7d-8090-6c424a493dfe.jpg.296x216.jpg', '府梓新居 2室2厅 74万', '府梓新居  | 2室2厅 | 88.48平米 | 南 西 北 | 其他', '中楼层(共5层)暂无数据  -  沈北新区', '74万', '单价8364元/平米')
('', '碧桂园太阳城 1室1厅 42万', '碧桂园太阳城  | 1室1厅 | 64.13平米 | 南 | 其他', '中楼层(共31层)暂无数据  -  沈北新区', '42万', '单价6550元/平米')
('', '人杰水岸一期 盛京 蒲河路站 红星美凯龙旁', '中铁人杰水岸一期  | 2室1厅 | 73.85平米 | 南 | 其他', '高楼层(共26层)暂无数据  -  沈北新区', '60万', '单价8125元/平米')
('', '碧桂园太阳城 3室2厅 108万', '碧桂园太阳城  | 3室2厅 | 144平米 | 东南 | 其他', '中楼层(共32层)2019年建板楼  -  沈北新区', '108万', '单价7500元/平米')
('', '香槟新坐标 2室1厅 45万', '香槟新坐标  | 2室1厅 | 75.19平米 | 南 北 | 其他', '低楼层(共15层)2013年建板楼  -  沈北新区', '45万', '单价5985元/平米')
('', '碧桂园太阳城 2室1厅 65万', '碧桂园太阳城  | 2室1厅 | 92平米 | 南 | 其他', '中楼层(共32层)2019年建板楼  -  沈北新区', '65万', '单价7066元/平米')
('', '沈阳雅居乐花园A地块 1室1厅 46万', '沈阳雅居乐花园A地块  | 1室1厅 | 46.33平米 | 西北 | 其他', '高楼层(共31层)2017年建板楼  -  沈北新区', '46万', '单价9929元/平米')
('', '荣盛盛京绿洲 3室2厅 67万', '荣盛盛京绿洲  | 3室2厅 | 109.7平米 | 南 北 | 其他', '低楼层(共18层)2016年建板楼  -  沈北新区', '67万', '单价6108元/平米')
('https://image1.ljcdn.com/210100-inspection/4e888723-5363-44db-a78b-68df7d505f89.jpg.296x216.jpg', '人杰水岸三期 3室2厅 87万', '人杰水岸三期  | 3室2厅 | 84.46平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  沈北新区', '87万', '单价10301元/平米')
('', '江南甲第二期 2室1厅 73万', '江南甲第二期  | 2室1厅 | 88平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '73万', '单价8296元/平米')
('', '人杰水岸二期一室南向河景房精装修房主包大税', '人杰水岸二期  | 1室0厅 | 48.09平米 | 南 | 其他', '中楼层(共26层)板楼  -  沈北新区', '36.5万', '单价7590元/平米')
('', '碧桂园太阳城 3室2厅 72万', '碧桂园太阳城  | 3室2厅 | 93.84平米 | 东 南 北 | 其他', '中楼层(共27层)暂无数据  -  沈北新区', '72万', '单价7673元/平米')
('', '人杰水岸三期 1室1厅 35万', '人杰水岸三期  | 1室1厅 | 41.77平米 | 南 | 其他', '中楼层(共9层)板楼  -  沈北新区', '35万', '单价8380元/平米')
('', '人杰水岸三期 1室1厅 41万', '人杰水岸三期  | 1室1厅 | 41.16平米 | 南 | 其他', '低楼层(共9层)板楼  -  沈北新区', '41万', '单价9962元/平米')
('', '步阳江南甲第四期 4室2厅 147万', '步阳江南甲第四期  | 4室2厅 | 136.84平米 | 南 北 | 其他', '低楼层(共3层)暂无数据  -  沈北新区', '147万', '单价10743元/平米')
('', '香槟新坐标 2室1厅 48万', '香槟新坐标  | 2室1厅 | 76.6平米 | 南 北 | 其他', '中楼层(共15层)暂无数据  -  沈北新区', '48万', '单价6267元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/ab8ecf1e-4c0c-4a8b-aded-47f438bfa1ef.png.280x210.jpg', '步阳江南甲第 3室2厅 98万', '步阳江南甲第  | 3室2厅 | 115平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  沈北新区', '98万', '单价8522元/平米')
('', '荣盛香缇澜山 3室2厅 98万', '荣盛香缇澜山  | 3室2厅 | 103平米 | 南 北 | 其他', '高楼层(共18层)2015年建板楼  -  沈北新区', '98万', '单价9515元/平米')
('', '亚泰城 2室1厅 59万', '亚泰城  | 2室1厅 | 77.86平米 | 东南 | 其他', '中楼层(共33层)暂无数据  -  沈北新区', '59万', '单价7578元/平米')
('', '城建美庭 2室2厅 75万', '城建美庭  | 2室2厅 | 95.71平米 | 南 西 北 | 其他', '低楼层(共18层)暂无数据  -  沈北新区', '75万', '单价7837元/平米')
('', '中铁梧桐苑 3室2厅 80万', '中铁梧桐苑  | 3室2厅 | 119.26平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  沈北新区', '80万', '单价6709元/平米')
('', '三盛颐景蓝湾 2室1厅 60万', '三盛颐景蓝湾  | 2室1厅 | 78.93平米 | 南 | 其他', '高楼层(共32层)板楼  -  沈北新区', '60万', '单价7602元/平米')
('', '华强城 1室1厅 43.5万', '华强城  | 1室1厅 | 47.19平米 | 西 北 | 其他', '中楼层(共31层)板楼  -  沈北新区', '43.5万', '单价9219元/平米')
('', '亚泰城 3室2厅 85万', '亚泰城  | 3室2厅 | 119.23平米 | 南 北 | 其他', '高楼层(共6层)2016年建板楼  -  沈北新区', '85万', '单价7130元/平米')
('', '沈北荣盛盛京绿洲 蒲河D铁口 盛京一院 七星海世界', '荣盛盛京绿洲  | 3室2厅 | 109.3平米 | 南 北 | 其他', '低楼层(共18层)2016年建板楼  -  沈北新区', '63万', '单价5764元/平米')
('', '人杰水岸三期 1室0厅 37万', '人杰水岸三期  | 1室0厅 | 48.18平米 | 南 | 其他', '中楼层(共15层)板楼  -  沈北新区', '37万', '单价7680元/平米')
('', '沈阳雅居乐花园A地块 1室1厅 42万', '沈阳雅居乐花园A地块  | 1室1厅 | 53平米 | 东 | 精装', '低楼层(共29层)2016年建板楼  -  沈北新区', '42万', '单价7925元/平米')
('', '碧桂园太阳城 1室1厅 40万', '碧桂园太阳城  | 1室1厅 | 61.8平米 | 南 | 其他', '低楼层(共29层)暂无数据  -  沈北新区', '40万', '单价6473元/平米')
('https://image1.ljcdn.com/210100-inspection/c1c69d26-8046-4079-896c-0fd56b60e3ed.jpg.296x216.jpg', '美麟阁 2室1厅 48万', '美麟阁  | 2室1厅 | 65.94平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  沈北新区', '48万', '单价7280元/平米')
('', '皇家御院 1室1厅 30.5万', '皇家御院  | 1室1厅 | 46.51平米 | 南 | 其他', '高楼层(共27层)暂无数据  -  沈北新区', '30.5万', '单价6558元/平米')
('https://image1.ljcdn.com/210100-inspection/f75af1a3-6c4d-44e2-9ff7-e835a1dd17d5.jpg.296x216.jpg', '荣盛香缇澜山 2室2厅 41万', '荣盛香缇澜山  | 2室2厅 | 60.08平米 | 南 | 毛坯', '高楼层(共18层)2015年建板楼  -  沈北新区', '41万', '单价6825元/平米')
('', '荣盛盛京绿洲 3室2厅 83万', '荣盛盛京绿洲  | 3室2厅 | 110.41平米 | 南 北 | 其他', '中楼层(共8层)板楼  -  沈北新区', '83万', '单价7518元/平米')
('https://image1.ljcdn.com/210100-inspection/c10648a5-ad9a-47fc-bd75-c00d1a52c185.jpg.296x216.jpg', '荣盛香缇澜山 清水房 南北标户', '荣盛香缇澜山  | 2室2厅 | 77.44平米 | 南 北 | 其他', '中楼层(共18层)2015年建板楼  -  沈北新区', '56万', '单价7232元/平米')
('', '人杰水岸二期 3室2厅 88万', '人杰水岸二期  | 3室2厅 | 109.53平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '88万', '单价8035元/平米')
('https://image1.ljcdn.com/210100-inspection/8126b6f6-ec3b-4f50-ac0f-e84116a0d708.jpg.296x216.jpg', '蒲河路 人杰水岸三期 一室小户型', '人杰水岸三期  | 1室1厅 | 48.18平米 | 南 | 其他', '中楼层(共15层)板楼  -  沈北新区', '36万', '单价7472元/平米')
('', '三盛颐景蓝湾 2室1厅 52万', '三盛颐景蓝湾  | 2室1厅 | 78.75平米 | 南 | 其他', '低楼层(共32层)暂无数据  -  沈北新区', '52万', '单价6604元/平米')
('https://image1.ljcdn.com/210100-inspection/756744b5-deae-4110-9896-406086c9a87b.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室1厅 37万', '沈阳雅居乐花园A地块  | 1室1厅 | 41.06平米 | 南 | 其他', '低楼层(共29层)板楼  -  沈北新区', '37万', '单价9012元/平米')
('https://image1.ljcdn.com/210100-inspection/b3a693f6-f9a5-4e5c-995c-7751099a5b24.jpg.296x216.jpg', '华强城  大二室二厅  100万', '华强城  | 2室2厅 | 107.15平米 | 南 北 | 精装', '中楼层(共31层)板楼  -  沈北新区', '100万', '单价9333元/平米')
('https://image1.ljcdn.com/210100-inspection/b2d64d09-fe4e-4dcb-9de3-a563f93aac0e.jpg.296x216.jpg', '碧桂园太阳城 2室2厅 56万', '碧桂园太阳城  | 2室2厅 | 88.59平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '56万', '单价6322元/平米')
('https://image1.ljcdn.com/210100-inspection/00e1ae9e-4112-4130-abd7-1e3657ea76d9.jpg.296x216.jpg', '一室小户型，位置好，交通方便，配套齐全。', '华强城  | 1室1厅 | 49.39平米 | 南 | 其他', '高楼层(共31层)板楼  -  沈北新区', '36万', '单价7289元/平米')
('https://image1.ljcdn.com/210100-inspection/de3d008e-8f5a-4f5a-9fe0-2ddf36e3919c.jpg.296x216.jpg', '中铁人杰水岸一期 1室0厅 25万', '中铁人杰水岸一期  | 1室0厅 | 40.39平米 | 北 | 其他', '高楼层(共26层)暂无数据  -  沈北新区', '25万', '单价6190元/平米')
('https://image1.ljcdn.com/210100-inspection/aa2a3a16-f3ea-4ee0-b814-20a42cd04dc7.jpg.296x216.jpg', '雷明锦程 积家购物旁 精装一室 拎包入住', '雷明锦程  | 1室1厅 | 44.13平米 | 南 | 其他', '低楼层(共19层)暂无数据  -  沈北新区', '39万', '单价8838元/平米')
('https://image1.ljcdn.com/210100-inspection/b0b3403e-fa20-4ff4-a495-8fda5ed6bd55.jpg.296x216.jpg', '小区园区环境优雅，超高绿化，居民素质让您居住舒心', '步阳江南甲第  | 1室0厅 | 42.58平米 | 西 | 其他', '高楼层(共12层)暂无数据  -  沈北新区', '43万', '单价10099元/平米')
('https://image1.ljcdn.com/210100-inspection/fcb4c89a-570a-4057-b8b4-13b193337581.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室1厅 37万', '沈阳雅居乐花园A地块  | 1室1厅 | 46.33平米 | 西北 | 其他', '中楼层(共29层)板楼  -  沈北新区', '37万', '单价7987元/平米')
('https://image1.ljcdn.com/210100-inspection/408f744e-91e4-488d-8250-1c2b25898f5f.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室0厅 37万', '沈阳雅居乐花园A地块  | 1室0厅 | 45.97平米 | 北 | 其他', '低楼层(共29层)板楼  -  沈北新区', '37万', '单价8049元/平米')
('https://image1.ljcdn.com/210100-inspection/4e348373-30ac-4ff4-9738-2c73dab91bb6.jpg.296x216.jpg', '中铁人杰水岸 楼层好 精装修  拎包入住 交通便利', '中铁人杰水岸一期  | 1室1厅 | 44.86平米 | 西北 | 其他', '中楼层(共26层)暂无数据  -  沈北新区', '31.5万', '单价7022元/平米')
('https://image1.ljcdn.com/210100-inspection/d4743a76-60c7-4712-b547-94ef5f3a788e.jpg.296x216.jpg', '人杰水岸二期 1室1厅 44万', '人杰水岸二期  | 1室1厅 | 49.98平米 | 南 | 其他', '高楼层(共27层)板楼  -  沈北新区', '44万', '单价8804元/平米')
('https://image1.ljcdn.com/210100-inspection/76452528-f019-44f9-bf57-cb06e84f02a2.jpg.296x216.jpg', '急售雅居乐摩卡小户型，精装现房，家具家电全新全赠送', '沈阳雅居乐花园A地块  | 1室1厅 | 53平米 | 东 | 精装', '低楼层(共29层)板楼  -  沈北新区', '44万', '单价8302元/平米')
('https://image1.ljcdn.com/210100-inspection/6bfe56e3-228d-443d-abd8-29dc7b741cc1.jpg.296x216.jpg', '中铁人杰水岸一期 3室2厅 102万', '中铁人杰水岸一期  | 3室2厅 | 105.31平米 | 东 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  沈北新区', '102万', '单价9686元/平米')
('https://image1.ljcdn.com/210100-inspection/0a3b90e6-5f48-4b3c-8c0a-3175b0ba6bc1.jpg.296x216.jpg', '江南甲第 装修好  交通便 大学城 繁华地', '步阳江南甲第  | 2室2厅 | 94.44平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '95万', '单价10060元/平米')
('https://image1.ljcdn.com/210100-inspection/c01d2591-efcd-44a1-822d-021a48866bff.jpg.296x216.jpg', '沈阳雅居乐花园C地块 3室2厅 90万', '沈阳雅居乐花园C地块  | 3室2厅 | 112.87平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  沈北新区', '90万', '单价7974元/平米')
('https://image1.ljcdn.com/210100-inspection/ecae0db3-96a4-493d-928c-02581534f506.jpg.296x216.jpg', '雅居乐花园C地块，赠送面积大 3室2厅', '沈阳雅居乐花园C地块  | 3室2厅 | 112.89平米 | 南 西 北 | 其他', '高楼层(共32层)暂无数据  -  沈北新区', '71万', '单价6290元/平米')
('https://image1.ljcdn.com/210100-inspection/60921252-fdb7-43f7-ba20-736892369e11.jpg.296x216.jpg', '雅居乐花园，精装洋房，赠送地下车库，四室两厅两卫。', '沈阳雅居乐花园C地块  | 4室2厅 | 144.48平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  沈北新区', '175万', '单价12113元/平米')
('https://image1.ljcdn.com/210100-inspection/7315de41-7ccd-4279-9813-0c941db70c31.jpg.296x216.jpg', '人杰水岸 南北通透 精装修三室 不临街', '中铁人杰水岸一期  | 3室2厅 | 105.6平米 | 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  沈北新区', '92万', '单价8713元/平米')
('https://image1.ljcdn.com/210100-inspection/08cc6237-58c0-4b26-af79-ae2a623f6f08.jpg.296x216.jpg', '此房满五唯一，有贷款房主可自还，户型方正，南北通透', '城建美庭  | 3室2厅 | 100.53平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  沈北新区', '71.5万', '单价7113元/平米')
('https://image1.ljcdn.com/210100-inspection/4d63c0ff-b9b2-44c0-a4ad-dd36863b68ca.jpg.296x216.jpg', '碧桂园太阳城 2室1厅 70万', '碧桂园太阳城  | 2室1厅 | 83.93平米 | 南 北 | 精装', '低楼层(共30层)暂无数据  -  沈北新区', '70万', '单价8341元/平米')
('https://image1.ljcdn.com/210100-inspection/2c94e67e-0738-49b2-aeeb-33f123a6e1c9.jpg.296x216.jpg', '雨润中央宫园 2室1厅 52万', '雨润中央宫园  | 2室1厅 | 82.6平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  沈北新区', '52万', '单价6296元/平米')
('https://image1.ljcdn.com/210100-inspection/b093bd6a-1ddb-447e-aceb-6da5bae16a27.jpg.296x216.jpg', '沈北新区蒲河路碧桂园太阳城交通好毛坯房高层视野宽阔', '碧桂园太阳城  | 3室2厅 | 129平米 | 南 西 北 | 其他', '高楼层(共32层)2019年建板楼  -  沈北新区', '82万', '单价6357元/平米')
('https://image1.ljcdn.com/210100-inspection/98d2309c-3c90-4a0c-a158-3c21a98d2c7f.jpg.296x216.jpg', '精装现房拎包入住三室荣信森林里', '荣信森林里  | 3室2厅 | 96.2平米 | 东 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '76.5万', '单价7953元/平米')
('https://image1.ljcdn.com/210100-inspection/bc533c72-11eb-4cbf-8ccb-965725a2e532.jpg.296x216.jpg', '荣盛京绿洲 精装修 三室两厅 采光良好', '荣盛盛京绿洲  | 3室2厅 | 94.88平米 | 南 北 | 其他', '中楼层(共18层)2016年建板楼  -  沈北新区', '68万', '单价7167元/平米')
('https://image1.ljcdn.com/210100-inspection/e29f20b1-ebdb-43c1-b6ac-31bd8dbf52d0.jpg.296x216.jpg', '品质好户型二号线旁荣盛盛京绿洲', '荣盛盛京绿洲  | 2室2厅 | 88.24平米 | 南 北 | 其他', '高楼层(共18层)2016年建板楼  -  沈北新区', '60万', '单价6800元/平米')
('https://image1.ljcdn.com/210100-inspection/c464389f-729f-42d8-b01c-bf247d0ee990.jpg.296x216.jpg', '中铁人杰水岸一期 1室0厅 30万', '中铁人杰水岸一期  | 1室0厅 | 38.98平米 | 北 东北 | 其他', '低楼层(共26层)暂无数据  -  沈北新区', '30万', '单价7697元/平米')
('https://image1.ljcdn.com/210100-inspection/2b9aac18-aafb-48bb-9b90-af20f992632f.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室1厅 37万', '沈阳雅居乐花园A地块  | 1室1厅 | 41.06平米 | 南 | 其他', '低楼层(共29层)板楼  -  沈北新区', '37万', '单价9012元/平米')
